date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:14:13	15363/15363	---M--	200	added ('OK')	binary/octet-stream	etag:%22ab27411f21d95edc84230fea44ce2769%22	https://igenius.ai/static/GravitoniumSans-Medium.ab27411f.eot	F:/Downloads/igenius/igenius.ai/static/GravitoniumSans-Medium.ab27411f.eot	(from https://igenius.ai/)
23:14:13	29516/29516	---M--	200	added ('OK')	binary/octet-stream	etag:%22842c189250d1e69b27d68372a03dd5bb%22	https://igenius.ai/static/GravitoniumSans-Medium.842c1892.ttf	F:/Downloads/igenius/igenius.ai/static/GravitoniumSans-Medium.842c1892.ttf	(from https://igenius.ai/)
23:14:13	16520/16520	---M--	200	added ('OK')	binary/octet-stream	etag:%2276601504e8e57462a588729b4791f417%22	https://igenius.ai/static/GravitoniumSans-Medium.76601504.woff	F:/Downloads/igenius/igenius.ai/static/GravitoniumSans-Medium.76601504.woff	(from https://igenius.ai/)
23:14:13	13616/13616	---M--	200	added ('OK')	binary/octet-stream	etag:%229a2658e3554bd8645a31236b799f90f6%22	https://igenius.ai/static/GravitoniumSans-Medium.9a2658e3.woff2	F:/Downloads/igenius/igenius.ai/static/GravitoniumSans-Medium.9a2658e3.woff2	(from https://igenius.ai/)
23:14:13	15509/15509	---M--	200	added ('OK')	binary/octet-stream	etag:%226cb25efe3d2d89480e2d3100ea85649f%22	https://igenius.ai/static/GravitoniumSans-SemiBold.6cb25efe.eot	F:/Downloads/igenius/igenius.ai/static/GravitoniumSans-SemiBold.6cb25efe.eot	(from https://igenius.ai/)
23:14:14	29904/29904	---M--	200	added ('OK')	binary/octet-stream	etag:%222e2c5acc6ce250ebe777e1aabbcc694a%22	https://igenius.ai/static/GravitoniumSans-SemiBold.2e2c5acc.ttf	F:/Downloads/igenius/igenius.ai/static/GravitoniumSans-SemiBold.2e2c5acc.ttf	(from https://igenius.ai/)
23:14:14	16668/16668	---M--	200	added ('OK')	binary/octet-stream	etag:%2268f9e9e223084a9c69eea8af1a0df718%22	https://igenius.ai/static/GravitoniumSans-SemiBold.68f9e9e2.woff	F:/Downloads/igenius/igenius.ai/static/GravitoniumSans-SemiBold.68f9e9e2.woff	(from https://igenius.ai/)
23:14:14	13688/13688	---M--	200	added ('OK')	binary/octet-stream	etag:%22577de84829d43b30746ab1b773842994%22	https://igenius.ai/static/GravitoniumSans-SemiBold.577de848.woff2	F:/Downloads/igenius/igenius.ai/static/GravitoniumSans-SemiBold.577de848.woff2	(from https://igenius.ai/)
23:14:15	14854/14854	---M--	200	added ('OK')	binary/octet-stream	etag:%229d8489d877298933b8c20064160d4664%22	https://igenius.ai/static/GravitoniumSans-Bold.9d8489d8.eot	F:/Downloads/igenius/igenius.ai/static/GravitoniumSans-Bold.9d8489d8.eot	(from https://igenius.ai/)
23:14:15	28812/28812	---M--	200	added ('OK')	binary/octet-stream	etag:%2269d626f2bd4e11d315d443c4b8f8e17a%22	https://igenius.ai/static/GravitoniumSans-Bold.69d626f2.ttf	F:/Downloads/igenius/igenius.ai/static/GravitoniumSans-Bold.69d626f2.ttf	(from https://igenius.ai/)
23:14:15	16032/16032	---M--	200	added ('OK')	binary/octet-stream	etag:%221174f1e151a01f14cea087ee1552611a%22	https://igenius.ai/static/GravitoniumSans-Bold.1174f1e1.woff	F:/Downloads/igenius/igenius.ai/static/GravitoniumSans-Bold.1174f1e1.woff	(from https://igenius.ai/)
23:14:15	13200/13200	---M--	200	added ('OK')	binary/octet-stream	etag:%22cb609c3776681b4735d0edf3c1be297e%22	https://igenius.ai/static/GravitoniumSans-Bold.cb609c37.woff2	F:/Downloads/igenius/igenius.ai/static/GravitoniumSans-Bold.cb609c37.woff2	(from https://igenius.ai/)
23:14:16	349/349	---M--	200	added ('OK')	image/svg+xml	etag:%22f002e306b823b0cef1066b451c456f01%22	https://igenius.ai/ideas/down.svg	F:/Downloads/igenius/igenius.ai/ideas/down.svg	(from https://igenius.ai/)
23:14:16	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2009%20Mar%202020%2009:47:40%20GMT	https://igenius.ai/about-us	F:/Downloads/igenius/igenius.ai/about-us	(from https://igenius.ai/)
23:14:16	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2008%20Mar%202020%2022:40:37%20GMT	https://igenius.ai/milestones	F:/Downloads/igenius/igenius.ai/milestones	(from https://igenius.ai/)
23:14:16	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2008%20Mar%202020%2022:40:36%20GMT	https://igenius.ai/people	F:/Downloads/igenius/igenius.ai/people	(from https://igenius.ai/)
23:14:17	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2008%20Mar%202020%2019:36:08%20GMT	https://igenius.ai/ideas	F:/Downloads/igenius/igenius.ai/ideas	(from https://igenius.ai/)
23:14:17	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2008%20Mar%202020%2022:40:33%20GMT	https://igenius.ai/technology	F:/Downloads/igenius/igenius.ai/technology	(from https://igenius.ai/)
23:14:17	303720/303720	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202020%2014:38:07%20GMT	https://igenius.ai/about-us/	F:/Downloads/igenius/igenius.ai/about-us/index.html	(from https://igenius.ai/)
23:14:17	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2008%20Mar%202020%2018:24:43%20GMT	https://igenius.ai/design	F:/Downloads/igenius/igenius.ai/design	(from https://igenius.ai/)
23:14:18	25525/25525	---M--	200	added ('OK')	image/png	etag:%22e0a4408e30b733deedbf14a6c6c5dfb5%22	https://igenius.ai/static/human-data-fluidity.e0a4408e.png	F:/Downloads/igenius/igenius.ai/static/human-data-fluidity.e0a4408e.png	(from https://igenius.ai/)
23:14:18	311655/311655	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202020%2014:38:08%20GMT	https://igenius.ai/milestones/	F:/Downloads/igenius/igenius.ai/milestones/index.html	(from https://igenius.ai/)
23:14:18	322694/322694	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202020%2014:38:09%20GMT	https://igenius.ai/people/	F:/Downloads/igenius/igenius.ai/people/index.html	(from https://igenius.ai/)
23:14:19	1031/1031	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2028%20Feb%202020%2014:38:08%20GMT	https://igenius.ai/home/icons-home-crystal.svg	F:/Downloads/igenius/igenius.ai/home/icons-home-crystal.svg	(from https://igenius.ai/)
